datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,3.2,0,-1.581,-55.589,7.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.8,-2.719,-54.402,7.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0.1,0.2,-2.151,-54.29,13.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0.1,0,-4.256,-55.305,11.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0.1,0.5,-1.551,-54.467,41.5
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BELTERRA,Amazonia,2,0.1,0.3,-3.31,-54.889,84
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0,0.1,-4.054,-54.878,52.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PLACAS,Amazonia,2,0.1,0,-3.825,-54.629,22.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,3,0,0.3,-2.69,-54.406,17.5
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,5,0.3,0.4,-1.658,-54.842,17.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BELTERRA,Amazonia,2,0.8,0.1,-3.223,-54.994,11.6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,3,0,0.2,-1.937,-54.021,14
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MOJUI DOS CAMPOS,Amazonia,5,0.4,1,-2.64,-54.696,18.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.6,-2.728,-54.401,8.5
